109.234.153.133 - - [10/Dec/2020:17:35:31 +0000] "CONNECT 5.178.86.76:80 HTTP/1.1" 400 157 "-" "-"
109.234.153.130 - - [10/Dec/2020:17:35:36 +0000] "\x04\x01\x00P\x05\xB2VL0\x00" 400 157 "-" "-"
109.234.153.132 - - [10/Dec/2020:17:35:41 +0000] "\x05\x01\x00" 400 157 "-" "-"
172.19.0.1 - - [10/Dec/2020:17:37:25 +0000] "GET / HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:17:37:47 +0000] "GET /index.html HTTP/1.1" 200 8 "-" "curl/7.61.1"
213.67.189.181 - - [10/Dec/2020:17:59:29 +0000] "GET / HTTP/1.1" 200 8 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
109.234.153.130 - - [10/Dec/2020:18:35:48 +0000] "POST http://check.best-proxies.ru/azenv.php?s=VJVJVINUIBVOPOVCPXNDKEPBTUKIYR HTTP/1.1" 405 157 "https://best-proxies.ru/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15"
109.234.153.130 - - [10/Dec/2020:18:35:53 +0000] "CONNECT 5.178.86.76:80 HTTP/1.1" 400 157 "-" "-"
109.234.153.131 - - [10/Dec/2020:18:35:58 +0000] "\x04\x01\x00P\x05\xB2VL0\x00" 400 157 "-" "-"
109.234.153.132 - - [10/Dec/2020:18:36:03 +0000] "\x05\x01\x00" 400 157 "-" "-"
